class,cap-shape,cap-surface,cap-color,stem-root,stem-surface,stem-color,habitat,season,cap-diameter,stem-height,stem-width
e,x,s,u,,,w,d,a,7.59,4.45,15.67
p,x,e,e,,,y,d,a,7.4,8.05,10.45
p,f,l,n,,,n,d,u,4.09,5.43,5.07
e,x,t,n,,s,w,d,u,6.25,13.15,13.24
p,x,s,g,r,y,n,d,u,5.98,5.61,15.93
p,f,,o,,,o,g,u,0.8,4.58,1.08
e,x,s,w,,,w,m,w,2.94,2.93,5.27
p,f,,w,r,i,w,h,a,9.19,11.14,12.36
p,x,d,w,,h,w,g,a,3.17,3.05,2.46
e,o,,n,,,n,l,s,6.18,5.35,21.85
e,f,w,g,,,w,d,w,1.5,4.77,2.58
p,s,t,k,,,n,l,u,16.09,5.5,26.23
p,b,w,u,,s,u,d,u,3.37,5.59,6.2
p,x,t,y,,g,o,g,u,4.76,6.12,7.92
p,s,,r,,,w,d,a,8.78,5.19,12.03
p,x,s,y,,,y,d,a,3.44,6.61,6.86
p,b,y,n,s,s,w,d,u,4.03,6.98,4.58
p,x,,y,,,w,d,u,3.97,4.99,6.79
e,x,w,y,,,y,d,u,7.27,5.82,15.93
e,x,t,g,,t,w,d,u,6.46,6.11,5.52
p,x,y,y,,y,n,d,u,2.57,5.37,3.4
e,o,y,y,,k,k,d,s,48.75,7.27,28.42
p,o,,g,,g,g,d,u,2.71,3.46,14.0
p,x,g,w,,,n,d,a,0.98,2.47,1.24
p,s,t,n,,,r,g,a,14.86,5.65,27.62
p,b,s,g,,s,w,g,u,5.37,11.68,12.51
p,x,e,n,s,,n,h,a,10.28,12.81,16.7
e,x,t,n,,s,n,d,u,6.5,12.8,13.39
e,b,h,k,,s,g,d,u,6.54,5.2,11.7
p,c,t,y,,,y,g,u,2.32,7.74,2.93
p,x,t,n,,,r,d,u,10.44,5.05,22.65
p,x,,w,,,n,l,a,3.02,7.69,4.24
e,c,g,e,,,n,h,a,1.01,5.92,1.05
p,o,s,g,f,f,f,d,a,3.43,0.0,0.0
e,f,,g,,,b,l,w,10.89,7.39,19.08
e,x,,r,,,r,l,a,4.74,5.71,6.97
p,f,,w,r,i,w,h,u,9.52,10.2,11.52
e,f,e,b,,,w,d,a,10.36,4.96,20.4
e,x,h,n,,s,n,h,u,8.69,6.5,12.18
p,f,i,l,,,w,g,a,2.29,3.44,2.6
p,b,s,y,,,y,d,s,5.88,11.16,9.15
e,o,,g,,,n,l,s,4.61,5.86,20.68
p,x,i,n,s,,n,d,a,9.78,10.12,13.99
p,f,t,y,,t,r,d,u,3.29,5.24,6.74
p,x,,n,,,w,d,a,12.27,10.75,15.46
p,x,y,o,,,o,m,a,3.3,4.1,5.92
e,x,s,n,,,n,d,u,8.96,7.65,18.69
p,b,y,p,,k,w,d,u,2.91,4.56,3.45
e,x,t,n,,,n,d,u,22.32,16.72,65.76
p,x,k,w,,,n,g,u,3.21,3.82,2.91
p,s,,y,,,w,d,u,7.86,4.18,11.9
p,f,s,g,,,w,g,u,2.43,2.76,7.0
p,x,i,k,,,w,g,a,2.0,3.86,2.55
p,x,t,n,,y,n,d,a,7.29,5.66,7.75
p,b,t,w,,y,w,d,a,7.46,11.92,11.07
p,x,k,w,,,w,d,a,21.3,6.76,32.25
e,f,y,e,b,,n,d,a,8.63,5.29,23.71
e,s,,w,,,w,d,u,11.22,5.22,24.13
p,b,h,n,,,w,g,u,3.58,8.71,5.35
p,x,,n,,s,n,g,u,1.71,5.38,2.83
e,x,d,e,s,y,w,d,a,17.21,14.58,36.16
e,x,i,n,,y,w,d,a,9.5,9.08,18.24
e,b,g,g,,,w,d,a,1.4,3.79,1.71
p,x,g,y,,,y,d,a,0.61,3.19,0.53
e,s,,w,,,w,d,u,12.99,5.96,26.01
p,o,s,w,f,f,f,d,u,3.38,0.0,0.0
p,x,t,e,b,,w,d,a,7.75,6.44,17.39
e,f,y,n,b,,n,d,a,9.17,7.29,25.64
p,x,,u,s,,g,d,a,10.25,9.2,20.6
p,x,k,w,,,n,g,a,3.18,3.86,2.92
e,p,i,n,,y,w,d,a,10.55,9.05,18.2
e,f,d,n,,,g,d,u,3.71,4.56,6.69
p,o,e,o,,,n,d,w,9.85,1.72,19.5
e,s,l,w,,,w,g,a,6.23,3.55,8.7
e,x,s,w,s,,w,m,a,12.87,9.88,17.29
p,x,t,n,,,w,d,a,2.84,4.9,6.29
e,x,h,g,,t,w,d,w,5.92,4.33,3.29
e,x,d,n,,,y,d,a,5.77,6.01,14.31
p,x,,n,,s,n,g,u,1.53,4.76,2.33
e,x,h,n,,,n,d,u,7.54,6.98,16.74
e,x,s,e,,,o,m,a,3.5,4.39,6.55
e,x,,g,,,g,g,u,8.35,8.41,14.25
p,f,,o,,,y,g,u,0.65,4.63,0.96
e,s,e,n,s,,w,l,w,13.55,8.04,25.47
e,x,d,o,,,w,g,a,6.23,5.16,13.27
e,x,,l,,,w,d,u,4.48,5.65,7.71
e,x,g,n,,,n,d,a,1.09,5.34,1.02
p,s,s,y,,,y,d,a,1.16,3.3,5.82
e,x,s,y,,i,n,d,u,9.93,7.76,12.64
p,x,h,n,c,,y,d,a,16.15,8.45,32.66
e,f,h,o,,i,n,d,a,8.24,9.26,12.21
p,s,d,w,,h,w,g,a,2.56,3.39,2.67
p,s,,r,,,w,d,a,7.12,3.93,11.63
e,f,y,n,,i,n,l,u,2.34,7.25,4.13
p,f,w,p,,,p,d,w,6.53,3.36,9.29
e,f,s,w,,,w,g,w,3.7,3.94,6.34
p,s,k,y,,k,n,d,u,5.41,3.02,4.71
p,x,t,n,,,n,d,a,11.11,5.55,12.3
p,b,,n,,s,g,d,u,1.21,4.41,1.66
p,f,d,n,b,s,n,l,a,3.56,4.3,2.92
p,x,e,e,,,e,d,a,6.32,6.96,9.25
e,x,w,y,,,y,d,u,2.67,2.38,10.73
e,f,s,k,,,w,d,a,5.57,4.31,14.14
e,x,h,n,,s,n,d,u,8.55,6.14,12.93
e,x,t,o,,,n,d,u,3.39,5.61,12.07
e,x,t,o,,,n,d,a,3.75,5.05,12.58
e,f,,w,,,w,d,a,4.15,5.87,3.53
p,o,l,g,f,f,f,d,w,3.13,0.0,0.0
e,x,g,n,,t,y,g,a,1.7,6.26,2.36
p,x,k,w,,,w,d,w,19.36,7.38,28.87
e,x,s,u,,,w,d,u,9.66,5.61,17.84
p,o,s,g,f,f,f,d,a,2.98,0.0,0.0
p,f,d,e,,,e,d,u,5.93,5.66,8.74
e,f,s,n,b,i,n,d,a,8.63,7.22,11.6
p,b,h,n,,,w,g,u,4.26,11.11,6.23
p,f,t,n,,i,g,d,a,3.55,4.58,4.04
e,x,d,y,,,e,d,u,8.04,5.97,13.33
e,f,y,n,,i,n,l,a,2.27,6.77,2.89
p,x,h,e,r,g,n,d,a,5.87,12.13,6.73
e,f,,n,b,,w,d,u,6.47,10.65,16.44
e,f,,l,,,b,l,a,8.1,7.2,19.0
e,f,w,y,,,y,d,a,5.21,5.32,14.15
e,x,e,y,,,w,d,u,11.01,8.78,24.69
p,c,t,n,,,y,g,a,1.61,7.55,2.83
p,b,,g,,,n,g,u,3.6,10.63,2.65
p,x,y,y,,y,n,d,a,9.52,11.46,10.74
p,b,y,n,s,s,w,d,u,2.71,5.4,4.26
p,x,s,g,,i,n,d,u,14.56,8.57,18.24
p,c,k,y,,,w,g,s,2.55,3.54,11.69
p,x,w,p,,,p,d,w,8.83,4.98,10.34
p,c,k,y,,,w,g,s,6.27,6.31,12.48
p,b,,n,,s,g,d,u,1.78,4.07,1.61
e,f,d,w,,,w,d,s,9.09,7.96,35.32
p,f,k,y,,k,n,d,u,4.96,3.76,5.18
p,x,,g,,,w,d,a,11.38,11.07,13.59
e,x,y,n,,,w,g,u,16.07,10.68,17.32
p,f,t,n,,i,g,g,a,4.21,5.92,4.41
e,s,,y,,,w,d,u,8.99,6.06,13.96
e,b,g,g,,s,n,d,s,4.72,5.18,3.75
p,b,g,o,,,n,d,u,2.22,6.89,3.87
p,x,g,n,,s,n,h,u,1.42,1.68,2.24
p,x,s,n,r,y,n,d,u,6.4,5.45,13.57
p,x,t,n,,,w,d,a,11.93,11.85,31.21
e,x,h,n,,s,n,g,u,7.1,7.54,12.07
e,x,l,w,,,w,g,a,8.33,3.48,8.28
p,b,t,n,,,n,g,u,0.84,3.29,2.36
